State,County,MCO Name,Service Category,Number of Active Patients,Number of Eligible MCO Patients,Number of Providers,Percent Of Eligible Patients Receiving Services,Number of Services per Active Patient,Number of Active Patients per Provider,Calendar Year,Plan Category
Michigan,Newaygo,Blue Cross Blue Shield Of Michigan,Pediatric Dental,368,"1,260",15,0.292063492,6.426630435,25:01:00,2022,Dental Specialty Plan
Michigan,Newaygo,Delta Dental,Pediatric Dental,"2,224","4,118",23,0.540067994,7.585881295,97:01:00,2023,Dental Specialty Plan
Michigan,Newaygo,Blue Cross Blue Shield Of Michigan,Pediatric Dental,513,"1,730",14,0.296531792,6.721247563,37:01:00,2023,Dental Specialty Plan
Michigan,Newaygo,Delta Dental,Pediatric Dental,"2,489","5,046",24,0.49326199,7.915628767,104:01:00,2024,Dental Specialty Plan
Michigan,Newaygo,Blue Cross Blue Shield Of Michigan,Pediatric Dental,705,"2,386",10,0.295473596,6.896453901,71:01:00,2024,Dental Specialty Plan
Michigan,Oakland,Delta Dental,Pediatric Dental,"11,631","24,756",568,0.469825497,7.299544321,21:01,2020,Dental Specialty Plan
Michigan,Oakland,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"2,046","12,408",316,0.164893617,7.348973607,7:01,2020,Dental Specialty Plan
Michigan,Oakland,Delta Dental,Pediatric Dental,"15,960","29,877",576,0.53419018,7.97593985,28:01:00,2021,Dental Specialty Plan
Michigan,Oakland,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"3,384","15,164",323,0.223160116,7.474881797,11:01,2021,Dental Specialty Plan
Michigan,Oakland,Delta Dental,Pediatric Dental,"18,542","34,953",596,0.530483793,8.161902707,32:01:00,2022,Dental Specialty Plan
Michigan,Oakland,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"4,439","18,080",344,0.245519912,7.022752872,13:01,2022,Dental Specialty Plan
Michigan,Oakland,Delta Dental,Pediatric Dental,"22,629","43,765",619,0.517057009,8.825577798,37:01:00,2023,Dental Specialty Plan
Michigan,Oakland,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"6,588","23,477",372,0.28061507,8.291590771,18:01,2023,Dental Specialty Plan
Michigan,Oakland,Delta Dental,Pediatric Dental,"25,841","54,396",591,0.475053313,8.83982818,44:01:00,2024,Dental Specialty Plan
Michigan,Oakland,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"9,152","30,910",372,0.296085409,8.48208042,25:01:00,2024,Dental Specialty Plan
Michigan,Oceana,Delta Dental,Pediatric Dental,573,"1,253",123,0.457302474,6.785340314,5:01,2020,Dental Specialty Plan
Michigan,Oceana,Blue Cross Blue Shield Of Michigan,Pediatric Dental,44,364,81,0.120879121,9,1:02,2020,Dental Specialty Plan
Michigan,Oceana,Delta Dental,Pediatric Dental,966,"1,770",136,0.545762712,7.714285714,8:01,2021,Dental Specialty Plan
Michigan,Oceana,Blue Cross Blue Shield Of Michigan,Pediatric Dental,123,539,92,0.228200371,6.634146341,2:01,2021,Dental Specialty Plan
Michigan,Oceana,Delta Dental,Pediatric Dental,"1,097","2,095",142,0.523627685,7.642661805,8:01,2022,Dental Specialty Plan
Michigan,Oceana,Blue Cross Blue Shield Of Michigan,Pediatric Dental,168,679,95,0.24742268,7.285714286,2:01,2022,Dental Specialty Plan
Michigan,Oceana,Delta Dental,Pediatric Dental,"1,271","2,461",145,0.516456725,8.798583792,9:01,2023,Dental Specialty Plan
Michigan,Oceana,Blue Cross Blue Shield Of Michigan,Pediatric Dental,270,839,99,0.321811681,8.451851852,3:01,2023,Dental Specialty Plan
Michigan,Oceana,Delta Dental,Pediatric Dental,"1,451","2,975",142,0.487731092,8.518263267,11:01,2024,Dental Specialty Plan
Michigan,Oceana,Blue Cross Blue Shield Of Michigan,Pediatric Dental,370,"1,167",101,0.317052271,7.897297297,4:01,2024,Dental Specialty Plan
Michigan,Ogemaw,Delta Dental,Pediatric Dental,541,"1,124",27,0.481316726,6.706099815,21:01,2020,Dental Specialty Plan
Michigan,Ogemaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,38,240,18,0.158333333,5.526315789,3:01,2020,Dental Specialty Plan
Michigan,Ogemaw,Delta Dental,Pediatric Dental,686,"1,259",29,0.544876886,7.795918367,24:01:00,2021,Dental Specialty Plan
Michigan,Ogemaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,67,318,17,0.210691824,5.76119403,4:01,2021,Dental Specialty Plan
Michigan,Ogemaw,Delta Dental,Pediatric Dental,819,"1,495",31,0.547826087,8.199023199,27:01:00,2022,Dental Specialty Plan
Michigan,Ogemaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,113,390,16,0.28974359,6.389380531,8:01,2022,Dental Specialty Plan
Michigan,Ogemaw,Delta Dental,Pediatric Dental,927,"1,803",33,0.514143095,9.216828479,29:01:00,2023,Dental Specialty Plan
Michigan,Ogemaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,165,505,21,0.326732673,7.76969697,8:01,2023,Dental Specialty Plan
Michigan,Ogemaw,Delta Dental,Pediatric Dental,"1,077","2,156",30,0.499536178,9.158774373,36:01:00,2024,Dental Specialty Plan
Michigan,Ogemaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,218,678,22,0.321533923,8.853211009,10:01,2024,Dental Specialty Plan
Michigan,Ontonagon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,*,*,61,0.333333333,3.25,*,2020,Dental Specialty Plan
Michigan,Ontonagon,Delta Dental,Pediatric Dental,*,*,95,0.48241206,5.302083333,*,2020,Dental Specialty Plan
Michigan,Ontonagon,Delta Dental,Pediatric Dental,128,221,93,0.57918552,6.0390625,2:01,2021,Dental Specialty Plan
Michigan,Ontonagon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,14,46,60,0.304347826,5.428571429,1:05,2021,Dental Specialty Plan
Michigan,Ontonagon,Delta Dental,Pediatric Dental,162,245,85,0.66122449,6.172839506,2:01,2022,Dental Specialty Plan
Michigan,Ontonagon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,24,62,54,0.387096774,5.125,1:03,2022,Dental Specialty Plan
Michigan,Ontonagon,Delta Dental,Pediatric Dental,192,277,79,0.693140794,7.953125,3:01,2023,Dental Specialty Plan
Michigan,Ontonagon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,35,113,48,0.309734513,6.914285714,1:02,2023,Dental Specialty Plan
Michigan,Ontonagon,Delta Dental,Pediatric Dental,193,312,75,0.618589744,6.544041451,3:01,2024,Dental Specialty Plan
Michigan,Ontonagon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,67,190,43,0.352631579,6.179104478,2:01,2024,Dental Specialty Plan
Michigan,Osceola,Delta Dental,Pediatric Dental,455,"1,072",2,0.424440299,6.931868132,228:01:00,2020,Dental Specialty Plan
Michigan,Osceola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,53,298,1,0.177852349,6.245283019,53:01:00,2020,Dental Specialty Plan
Michigan,Osceola,Delta Dental,Pediatric Dental,590,"1,257",1,0.469371519,7.440677966,590:01:00,2021,Dental Specialty Plan
Michigan,Osceola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,93,411,1,0.226277372,6.559139785,93:01:00,2021,Dental Specialty Plan
Michigan,Osceola,Delta Dental,Pediatric Dental,757,"1,574",1,0.48094028,7.284015852,757:01:00,2022,Dental Specialty Plan
Michigan,Osceola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,137,559,1,0.245080501,6.941605839,137:01:00,2022,Dental Specialty Plan
Michigan,Osceola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,195,714,1,0.273109244,6.461538462,195:01:00,2023,Dental Specialty Plan
Michigan,Osceola,Delta Dental,Pediatric Dental,986,"2,009",1,0.490791439,8.322515213,986:01:00,2023,Dental Specialty Plan
Michigan,Osceola,Delta Dental,Pediatric Dental,"1,242","2,570",1,0.483268482,7.550724638,1242:01:00,2024,Dental Specialty Plan
Michigan,Osceola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,273,"1,021",1,0.267384917,6.791208791,273:01:00,2024,Dental Specialty Plan
Michigan,Oscoda,Delta Dental,Pediatric Dental,226,472,1,0.478813559,6.575221239,226:01:00,2020,Dental Specialty Plan
Michigan,Oscoda,Blue Cross Blue Shield Of Michigan,Pediatric Dental,20,72,1,0.277777778,3.9,20:01,2020,Dental Specialty Plan
Michigan,Oscoda,Delta Dental,Pediatric Dental,252,540,1,0.466666667,7.027777778,252:01:00,2021,Dental Specialty Plan
Michigan,Oscoda,Blue Cross Blue Shield Of Michigan,Pediatric Dental,34,106,1,0.320754717,6,34:01:00,2021,Dental Specialty Plan
Michigan,Oscoda,Delta Dental,Pediatric Dental,275,598,1,0.459866221,7.08,275:01:00,2022,Dental Specialty Plan
Michigan,Oscoda,Blue Cross Blue Shield Of Michigan,Pediatric Dental,39,142,1,0.274647887,6.025641026,39:01:00,2022,Dental Specialty Plan
Michigan,Oscoda,Delta Dental,Pediatric Dental,332,708,1,0.468926554,7.635542169,332:01:00,2023,Dental Specialty Plan
Michigan,Oscoda,Blue Cross Blue Shield Of Michigan,Pediatric Dental,47,245,1,0.191836735,6.914893617,47:01:00,2023,Dental Specialty Plan
Michigan,Oscoda,Delta Dental,Pediatric Dental,354,800,1,0.4425,7.189265537,354:01:00,2024,Dental Specialty Plan
Michigan,Oscoda,Blue Cross Blue Shield Of Michigan,Pediatric Dental,85,366,1,0.232240437,6.388235294,85:01:00,2024,Dental Specialty Plan
Michigan,Otsego,Delta Dental,Pediatric Dental,682,"1,262",141,0.540412044,7.683284457,5:01,2020,Dental Specialty Plan
Michigan,Otsego,Blue Cross Blue Shield Of Michigan,Pediatric Dental,79,323,93,0.244582043,5.620253165,1:02,2020,Dental Specialty Plan
Michigan,Otsego,Delta Dental,Pediatric Dental,860,"1,400",155,0.614285714,8.280232558,6:01,2021,Dental Specialty Plan
Michigan,Otsego,Blue Cross Blue Shield Of Michigan,Pediatric Dental,131,400,102,0.3275,6.580152672,2:01,2021,Dental Specialty Plan
Michigan,Otsego,Delta Dental,Pediatric Dental,921,"1,617",163,0.569573284,7.990228013,6:01,2022,Dental Specialty Plan
Michigan,Otsego,Blue Cross Blue Shield Of Michigan,Pediatric Dental,174,503,105,0.345924453,6.396551724,2:01,2022,Dental Specialty Plan
Michigan,Otsego,Delta Dental,Pediatric Dental,"1,081","2,014",167,0.5367428,9.834412581,7:01,2023,Dental Specialty Plan
Michigan,Otsego,Blue Cross Blue Shield Of Michigan,Pediatric Dental,220,681,111,0.323054332,7.545454545,2:01,2023,Dental Specialty Plan
Michigan,Otsego,Blue Cross Blue Shield Of Michigan,Pediatric Dental,340,880,113,0.386363636,7.405882353,4:01,2024,Dental Specialty Plan
Michigan,Otsego,Delta Dental,Pediatric Dental,"1,270","2,385",161,0.532494759,8.626771654,8:01,2024,Dental Specialty Plan
Michigan,Ottawa,Blue Cross Blue Shield Of Michigan,Pediatric Dental,415,"3,453",82,0.120185346,6.877108434,6:01,2020,Dental Specialty Plan
Michigan,Ottawa,Delta Dental,Pediatric Dental,"3,509","6,648",159,0.527827918,6.911655742,23:01,2020,Dental Specialty Plan
Michigan,Ottawa,Blue Cross Blue Shield Of Michigan,Pediatric Dental,894,"4,476",95,0.199731903,6.864653244,10:01,2021,Dental Specialty Plan
Michigan,Ottawa,Delta Dental,Pediatric Dental,"5,410","9,026",173,0.59937957,7.877079482,32:01:00,2021,Dental Specialty Plan
Michigan,Ottawa,Delta Dental,Pediatric Dental,"6,194","10,807",177,0.573147034,7.649015176,35:01:00,2022,Dental Specialty Plan
Michigan,Ottawa,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"1,301","5,289",102,0.245982227,6.62567256,13:01,2022,Dental Specialty Plan
Michigan,Ottawa,Delta Dental,Pediatric Dental,"7,340","13,350",176,0.549812734,7.955585831,42:01:00,2023,Dental Specialty Plan
Michigan,Ottawa,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"1,866","6,738",107,0.276936776,7.57073955,18:01,2023,Dental Specialty Plan
Michigan,Ottawa,Delta Dental,Pediatric Dental,"7,665","15,333",173,0.499902172,7.93072407,45:01:00,2024,Dental Specialty Plan
Michigan,Ottawa,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"2,481","8,369",110,0.296451189,7.347440548,23:01,2024,Dental Specialty Plan
Michigan,Presque Isle,Blue Cross Blue Shield Of Michigan,Pediatric Dental,*,*,2,0.163934426,3.7,*,2020,Dental Specialty Plan
Michigan,Presque Isle,Delta Dental,Pediatric Dental,*,*,2,0.491773309,6.275092937,*,2020,Dental Specialty Plan
Michigan,Presque Isle,Blue Cross Blue Shield Of Michigan,Pediatric Dental,19,117,2,0.162393162,5.210526316,10:01,2021,Dental Specialty Plan
Michigan,Presque Isle,Delta Dental,Pediatric Dental,322,611,2,0.52700491,6.773291925,161:01:00,2021,Dental Specialty Plan
Michigan,Presque Isle,Blue Cross Blue Shield Of Michigan,Pediatric Dental,35,135,2,0.259259259,6.2,18:01,2022,Dental Specialty Plan
Michigan,Presque Isle,Delta Dental,Pediatric Dental,386,702,2,0.54985755,6.880829016,193:01:00,2022,Dental Specialty Plan
Michigan,Presque Isle,Blue Cross Blue Shield Of Michigan,Pediatric Dental,49,178,2,0.275280899,6.06122449,25:01:00,2023,Dental Specialty Plan
Michigan,Presque Isle,Delta Dental,Pediatric Dental,463,888,2,0.521396396,7.48812095,232:01:00,2023,Dental Specialty Plan
Michigan,Presque Isle,Blue Cross Blue Shield Of Michigan,Pediatric Dental,74,222,1,0.333333333,4.675675676,74:01:00,2024,Dental Specialty Plan
Michigan,Presque Isle,Delta Dental,Pediatric Dental,461,991,1,0.46518668,7.013015184,461:01:00,2024,Dental Specialty Plan
Michigan,Roscommon,Delta Dental,Pediatric Dental,455,"1,040",121,0.4375,6.885714286,4:01,2020,Dental Specialty Plan
Michigan,Roscommon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,46,235,79,0.195744681,7.260869565,1:02,2020,Dental Specialty Plan
Michigan,Roscommon,Delta Dental,Pediatric Dental,614,"1,161",134,0.528854436,7.425081433,5:01,2021,Dental Specialty Plan
Michigan,Roscommon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,62,295,91,0.210169492,6.887096774,1:02,2021,Dental Specialty Plan
Michigan,Roscommon,Delta Dental,Pediatric Dental,707,"1,371",141,0.515681984,7.554455446,6:01,2022,Dental Specialty Plan
Michigan,Roscommon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,104,370,96,0.281081081,6.057692308,2:01,2022,Dental Specialty Plan
Michigan,Roscommon,Delta Dental,Pediatric Dental,860,"1,725",143,0.498550725,8.696511628,7:01,2023,Dental Specialty Plan
Michigan,Roscommon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,108,513,99,0.210526316,8.12037037,2:01,2023,Dental Specialty Plan
Michigan,Roscommon,Delta Dental,Pediatric Dental,"1,013","2,100",140,0.482380952,9.570582428,8:01,2024,Dental Specialty Plan
Michigan,Roscommon,Blue Cross Blue Shield Of Michigan,Pediatric Dental,143,669,100,0.213751868,7.202797203,2:01,2024,Dental Specialty Plan
Michigan,Saginaw,Delta Dental,Pediatric Dental,"3,332","7,387",207,0.451062678,6.430672269,17:01,2020,Dental Specialty Plan
Michigan,Saginaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,291,"2,704",130,0.107618343,5.254295533,3:01,2020,Dental Specialty Plan
Michigan,Saginaw,Delta Dental,Pediatric Dental,"4,901","9,346",224,0.524395463,7.016119159,22:01,2021,Dental Specialty Plan
Michigan,Saginaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,659,"3,517",149,0.187375604,5.388467375,5:01,2021,Dental Specialty Plan
Michigan,Saginaw,Delta Dental,Pediatric Dental,"5,841","11,337",233,0.515215666,7.156993665,26:01:00,2022,Dental Specialty Plan
Michigan,Saginaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,964,"4,397",155,0.219240391,5.54253112,7:01,2022,Dental Specialty Plan
Michigan,Saginaw,Delta Dental,Pediatric Dental,"7,461","14,360",240,0.519568245,7.539739981,32:01:00,2023,Dental Specialty Plan
Michigan,Saginaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"1,509","5,861",162,0.257464596,5.865473824,10:01,2023,Dental Specialty Plan
Michigan,Saginaw,Delta Dental,Pediatric Dental,"8,816","18,685",242,0.471822317,7.608098911,37:01:00,2024,Dental Specialty Plan
Michigan,Saginaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"2,379","8,646",171,0.275156142,6.457755359,14:01,2024,Dental Specialty Plan
Michigan,Sanilac,Delta Dental,Pediatric Dental,"1,023","1,848",115,0.553571429,6.425219941,9:01,2020,Dental Specialty Plan
Michigan,Sanilac,Blue Cross Blue Shield Of Michigan,Pediatric Dental,100,489,79,0.204498978,5.23,2:01,2020,Dental Specialty Plan
Michigan,Sanilac,Delta Dental,Pediatric Dental,"1,280","2,134",128,0.599812559,7.27734375,10:01,2021,Dental Specialty Plan
Michigan,Sanilac,Blue Cross Blue Shield Of Michigan,Pediatric Dental,161,661,90,0.243570348,5.98136646,2:01,2021,Dental Specialty Plan
Michigan,Sanilac,Delta Dental,Pediatric Dental,"1,417","2,504",135,0.565894569,7.266760762,11:01,2022,Dental Specialty Plan
Michigan,Sanilac,Blue Cross Blue Shield Of Michigan,Pediatric Dental,225,849,96,0.265017668,5.28,3:01,2022,Dental Specialty Plan
Michigan,Sanilac,Delta Dental,Pediatric Dental,"1,712","2,995",139,0.571619366,7.573014019,13:01,2023,Dental Specialty Plan
Michigan,Sanilac,Blue Cross Blue Shield Of Michigan,Pediatric Dental,328,"1,133",99,0.289496911,6.210365854,4:01,2023,Dental Specialty Plan
Michigan,Sanilac,Delta Dental,Pediatric Dental,"1,905","3,520",136,0.541193182,7.83832021,15:01,2024,Dental Specialty Plan
Michigan,Sanilac,Blue Cross Blue Shield Of Michigan,Pediatric Dental,460,"1,589",101,0.289490245,6.508695652,5:01,2024,Dental Specialty Plan
Michigan,Schoolcraft,Delta Dental,Pediatric Dental,*,*,11,0.414141414,7.12195122,*,2020,Dental Specialty Plan
Michigan,Schoolcraft,Blue Cross Blue Shield Of Michigan,Pediatric Dental,*,*,5,0.192307692,5.4,*,2020,Dental Specialty Plan
Michigan,Schoolcraft,Delta Dental,Pediatric Dental,*,*,11,0.484234234,7.079069767,*,2021,Dental Specialty Plan
Michigan,Schoolcraft,Blue Cross Blue Shield Of Michigan,Pediatric Dental,*,*,8,0.156862745,4.875,*,2021,Dental Specialty Plan
Michigan,Schoolcraft,Delta Dental,Pediatric Dental,239,526,10,0.454372624,7.09623431,24:01:00,2022,Dental Specialty Plan
Michigan,Schoolcraft,Blue Cross Blue Shield Of Michigan,Pediatric Dental,25,89,6,0.280898876,6.56,5:01,2022,Dental Specialty Plan
Michigan,Schoolcraft,Delta Dental,Pediatric Dental,234,639,11,0.366197183,7.517094017,22:01,2023,Dental Specialty Plan
Michigan,Schoolcraft,Blue Cross Blue Shield Of Michigan,Pediatric Dental,31,161,8,0.192546584,4.870967742,4:01,2023,Dental Specialty Plan
Michigan,Schoolcraft,Delta Dental,Pediatric Dental,290,684,13,0.423976608,7.513793103,23:01,2024,Dental Specialty Plan
Michigan,Schoolcraft,Blue Cross Blue Shield Of Michigan,Pediatric Dental,50,253,9,0.197628458,6.2,6:01,2024,Dental Specialty Plan
Michigan,Shiawassee,Delta Dental,Pediatric Dental,"1,407","2,712",14,0.51880531,6.839374556,101:01:00,2020,Dental Specialty Plan
Michigan,Shiawassee,Blue Cross Blue Shield Of Michigan,Pediatric Dental,97,790,3,0.12278481,6.072164948,33:01:00,2020,Dental Specialty Plan
Michigan,Shiawassee,Delta Dental,Pediatric Dental,"1,833","3,197",16,0.573350016,7.633933442,115:01:00,2021,Dental Specialty Plan
Michigan,Shiawassee,Blue Cross Blue Shield Of Michigan,Pediatric Dental,205,"1,078",5,0.190166976,6.936585366,41:01:00,2021,Dental Specialty Plan
Michigan,Shiawassee,Delta Dental,Pediatric Dental,"2,135","3,778",16,0.565113817,7.755503513,134:01:00,2022,Dental Specialty Plan
Michigan,Shiawassee,Blue Cross Blue Shield Of Michigan,Pediatric Dental,314,"1,424",5,0.220505618,6.257961783,63:01:00,2022,Dental Specialty Plan
Michigan,Shiawassee,Delta Dental,Pediatric Dental,"2,609","4,593",15,0.568038319,8.315446531,174:01:00,2023,Dental Specialty Plan
Michigan,Shiawassee,Blue Cross Blue Shield Of Michigan,Pediatric Dental,493,"1,934",6,0.254912099,6.914807302,83:01:00,2023,Dental Specialty Plan
Michigan,Shiawassee,Delta Dental,Pediatric Dental,"2,967","5,524",17,0.537110789,8.252780586,175:01:00,2024,Dental Specialty Plan
Michigan,Shiawassee,Blue Cross Blue Shield Of Michigan,Pediatric Dental,816,"2,641",6,0.308973874,7.406862745,136:01:00,2024,Dental Specialty Plan
Michigan,St. Clair,Delta Dental,Pediatric Dental,"3,201","6,296",125,0.508418043,6.923149016,26:01:00,2020,Dental Specialty Plan
Michigan,St. Clair,Blue Cross Blue Shield Of Michigan,Pediatric Dental,251,"2,003",76,0.125312032,7.470119522,4:01,2020,Dental Specialty Plan
Michigan,St. Clair,Delta Dental,Pediatric Dental,"4,297","7,521",142,0.571333599,7.799627647,31:01:00,2021,Dental Specialty Plan
Michigan,St. Clair,Blue Cross Blue Shield Of Michigan,Pediatric Dental,385,"2,451",89,0.157078743,6.657142857,5:01,2021,Dental Specialty Plan
Michigan,St. Clair,Delta Dental,Pediatric Dental,"5,050","8,974",147,0.562736795,7.668712871,35:01:00,2022,Dental Specialty Plan
Michigan,St. Clair,Blue Cross Blue Shield Of Michigan,Pediatric Dental,454,"2,941",92,0.154369262,6.292951542,5:01,2022,Dental Specialty Plan
Michigan,St. Clair,Delta Dental,Pediatric Dental,"6,258","11,091",152,0.564241277,8.342281879,42:01:00,2023,Dental Specialty Plan
Michigan,St. Clair,Blue Cross Blue Shield Of Michigan,Pediatric Dental,730,"3,829",94,0.1906503,6.667123288,8:01,2023,Dental Specialty Plan
Michigan,St. Clair,Delta Dental,Pediatric Dental,"6,932","13,344",148,0.519484412,8.24711483,47:01:00,2024,Dental Specialty Plan
Michigan,St. Clair,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"1,207","5,170",97,0.233462282,7.270919635,13:01,2024,Dental Specialty Plan
Michigan,St. Joseph,Delta Dental,Pediatric Dental,"1,203","2,690",120,0.447211896,6.821280133,11:01,2020,Dental Specialty Plan
Michigan,St. Joseph,Blue Cross Blue Shield Of Michigan,Pediatric Dental,212,"1,233",79,0.171938362,6.41509434,3:01,2020,Dental Specialty Plan
Michigan,St. Joseph,Delta Dental,Pediatric Dental,"1,914","3,640",132,0.525824176,7.893939394,15:01,2021,Dental Specialty Plan
Michigan,St. Joseph,Blue Cross Blue Shield Of Michigan,Pediatric Dental,395,"1,624",91,0.243226601,7.324050633,5:01,2021,Dental Specialty Plan
Michigan,St. Joseph,Delta Dental,Pediatric Dental,"2,204","4,204",140,0.524262607,8.029491833,16:01,2022,Dental Specialty Plan
Michigan,St. Joseph,Blue Cross Blue Shield Of Michigan,Pediatric Dental,625,"2,076",96,0.30105973,6.9216,7:01,2022,Dental Specialty Plan
Michigan,St. Joseph,Delta Dental,Pediatric Dental,"2,509","5,100",141,0.491960784,9.160621762,18:01,2023,Dental Specialty Plan
Michigan,St. Joseph,Blue Cross Blue Shield Of Michigan,Pediatric Dental,828,"2,673",99,0.30976431,7.84178744,9:01,2023,Dental Specialty Plan
Michigan,St. Joseph,Delta Dental,Pediatric Dental,"2,695","5,945",140,0.453322119,8.218923933,20:01,2024,Dental Specialty Plan
Michigan,St. Joseph,Blue Cross Blue Shield Of Michigan,Pediatric Dental,981,"3,436",100,0.285506403,7.240570846,10:01,2024,Dental Specialty Plan
Michigan,Tuscola,Delta Dental,Pediatric Dental,"1,303","2,415",6,0.539544513,6.488104375,218:01:00,2020,Dental Specialty Plan
Michigan,Tuscola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,102,734,1,0.138964578,5.843137255,102:01:00,2020,Dental Specialty Plan
Michigan,Tuscola,Delta Dental,Pediatric Dental,"1,650","2,730",6,0.604395604,7.573333333,275:01:00,2021,Dental Specialty Plan
Michigan,Tuscola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,147,877,1,0.167616876,6.653061224,147:01:00,2021,Dental Specialty Plan
Michigan,Tuscola,Delta Dental,Pediatric Dental,"1,918","3,224",5,0.594913151,7.692909281,384:01:00,2022,Dental Specialty Plan
Michigan,Tuscola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,259,"1,093",1,0.236962489,6.536679537,259:01:00,2022,Dental Specialty Plan
Michigan,Tuscola,Delta Dental,Pediatric Dental,"2,260","3,942",5,0.573313039,7.820353982,452:01:00,2023,Dental Specialty Plan
Michigan,Tuscola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,382,"1,393",1,0.274228284,7.065445026,382:01:00,2023,Dental Specialty Plan
Michigan,Tuscola,Delta Dental,Pediatric Dental,"2,454","4,739",4,0.517830766,7.743683782,614:01:00,2024,Dental Specialty Plan
Michigan,Tuscola,Blue Cross Blue Shield Of Michigan,Pediatric Dental,522,"1,879",1,0.277807344,6.362068966,522:01:00,2024,Dental Specialty Plan
Michigan,Van Buren,Delta Dental,Pediatric Dental,"1,501","3,239",22,0.463414634,6.259826782,69:01:00,2020,Dental Specialty Plan
Michigan,Van Buren,Blue Cross Blue Shield Of Michigan,Pediatric Dental,184,"1,169",18,0.157399487,5.456521739,11:01,2020,Dental Specialty Plan
Michigan,Van Buren,Delta Dental,Pediatric Dental,"2,463","4,609",25,0.534389238,7.423467316,99:01:00,2021,Dental Specialty Plan
Michigan,Van Buren,Blue Cross Blue Shield Of Michigan,Pediatric Dental,370,"1,560",20,0.237179487,6.140540541,19:01,2021,Dental Specialty Plan
Michigan,Van Buren,Delta Dental,Pediatric Dental,"2,803","5,265",23,0.532383666,7.16839101,122:01:00,2022,Dental Specialty Plan
Michigan,Van Buren,Blue Cross Blue Shield Of Michigan,Pediatric Dental,518,"1,897",18,0.273062731,6.366795367,29:01:00,2022,Dental Specialty Plan
Michigan,Van Buren,Delta Dental,Pediatric Dental,"3,180","6,250",27,0.5088,7.777672956,118:01:00,2023,Dental Specialty Plan
Michigan,Van Buren,Blue Cross Blue Shield Of Michigan,Pediatric Dental,789,"2,490",20,0.31686747,7.585551331,40:01:00,2023,Dental Specialty Plan
Michigan,Van Buren,Delta Dental,Pediatric Dental,"3,638","7,397",23,0.491821009,8.02528862,159:01:00,2024,Dental Specialty Plan
Michigan,Van Buren,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"1,156","3,482",18,0.331993107,7.619377163,65:01:00,2024,Dental Specialty Plan
Michigan,Washtenaw,Delta Dental,Pediatric Dental,"3,206","6,841",353,0.468644935,7.257018091,10:01,2020,Dental Specialty Plan
Michigan,Washtenaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,406,"2,858",197,0.142057383,7.738916256,3:01,2020,Dental Specialty Plan
Michigan,Washtenaw,Delta Dental,Pediatric Dental,"4,348","8,197",392,0.530437965,7.85050598,12:01,2021,Dental Specialty Plan
Michigan,Washtenaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,748,"3,608",236,0.207317073,7.807486631,4:01,2021,Dental Specialty Plan
Michigan,Washtenaw,Delta Dental,Pediatric Dental,"4,981","9,860",421,0.505172414,7.797831761,12:01,2022,Dental Specialty Plan
Michigan,Washtenaw,Blue Cross Blue Shield Of Michigan,Pediatric Dental,"1,293","4,530",246,0.285430464,7.501933488,6:01,2022,Dental Specialty Plan
